IdleTimes
n, µs
957, 35693
958, 7208
959, 12389
960, 6207
961, 5427
962, 7241
963, 5336
964, 10882
965, 7860
966, 25023
967, 5222
968, 11623
969, 5282
970, 57195
971, 5262
972, 6951
973, 7220
974, 5137
975, 8766
976, 7140
977, 14334
978, 5227
979, 8510
980, 5359
981, 8262
982, 5143
983, 16178
984, 5158
985, 13758
986, 5502
987, 44682
988, 5242
989, 68247
990, 8086
991, 1089038
992, 9351
993, 102218
994, 5009
995, 55533
996, 5445
997, 11364
998, 6572
999, 9133
1000, 5667
1001, 10342
1002, 6115
1003, 10134
1004, 5256
1005, 11560
1006, 5206
1007, 14802
1008, 5302
1009, 8209
1010, 5167
1011, 11449
1012, 11344
1013, 6562
1014, 5290
1015, 9967
1016, 7647
1017, 9457
1018, 5478
1019, 10474
1020, 5566
1021, 11944
1022, 7219
1023, 8685
1024, 5453
1025, 10869
1026, 5830
1027, 5242
1028, 6824
1029, 5001
1030, 9648
1031, 5337
1032, 12028
1033, 9784
1034, 5795
1035, 6903
1036, 10493
1037, 7374
1038, 10472
1039, 9371
1040, 34441
1041, 5409
1042, 11105
1043, 5734
1044, 4596
1045, 9439
1046, 5232
1047, 7585
1048, 5301
1049, 15089
1050, 5204
1051, 9604
1052, 5421
1053, 11003
1054, 12082
1055, 4126
1056, 5357
1057, 12055
1058, 5571
1059, 10744
1060, 5362
1061, 4428
1062, 9181
1063, 4943
1064, 9735
1065, 7234
1066, 4974
1067, 3437
1068, 5519
1069, 11049
1070, 6021
1071, 10455
1072, 5409
1073, 10735
1074, 5301
1075, 12861
1076, 5143
1077, 11494
1078, 5310
1079, 11484
1080, 8905
1081, 7216
1082, 5316
1083, 10954
1084, 5180
1085, 7263
1086, 5196
1087, 12224
1088, 6219
1089, 18846
1090, 5002
1091, 80999
1092, 5131
1093, 11817
1094, 7265
1095, 6912
1096, 6714
1097, 4983
1098, 7099
1099, 5658
1100, 11158
1101, 10425
1102, 5675
1103, 6912
1104, 10915
1105, 5200
1106, 10836
1107, 5428
1108, 12314
1109, 5138
1110, 15279
1111, 5799
1112, 6171
1113, 5003
1114, 12593
1115, 8332
1116, 1111
1117, 5555
1118, 1171
1119, 5146
1120, 71877
1121, 7211
1122, 10195
1123, 5096
1124, 11623
1125, 5177
1126, 10703
1127, 5220
1128, 12161
1129, 17707
1130, 5350
1131, 9109
1132, 5344
1133, 12775
1134, 5328
1135, 9227
1136, 7401
1137, 11159
1138, 8169
1139, 22961
1140, 5165
1141, 19329
1142, 5360
1143, 10654
1144, 5133
1145, 6220
1146, 5836
1147, 4961
1148, 11855
1149, 5309
1150, 11201
1151, 7172
1152, 10447
1153, 5294
1154, 11706
1155, 8253
1156, 9397
1157, 5712
1158, 10716
1159, 5048
1160, 11024
1161, 5306
1162, 12468
1163, 5258
1164, 12862
1165, 11714
1166, 5212
1167, 26747
1168, 5204
1169, 3300
1170, 5384
1171, 11445
1172, 7097
1173, 10700
1174, 5140
1175, 67978
1176, 6211
1177, 5042
1178, 7683
1179, 5346
1180, 11559
1181, 10729
1182, 5010
1183, 5104
1184, 11464
1185, 5142
1186, 12604
1187, 8705
1188, 6365
1189, 5649
1190, 13863
1191, 5239
1192, 9347
1193, 5154
1194, 10812
1195, 7264
1196, 2565
1197, 5092
1198, 35373
1199, 4972
1200, 113264
1201, 5186
1202, 156045
1203, 5171
1204, 35674
1205, 5001
1206, 7288
1207, 5307
1208, 69010
1209, 5350
1210, 26857
1211, 5588
1212, 2618641
1213, 5603
1214, 1842393
1215, 15925
1216, 4605
1217, 4247
1218, 4955
1219, 11682
1220, 5240
1221, 12185
1222, 5002
1223, 101551
1224, 4973
1225, 13034
1226, 6593
1227, 9540
1228, 4814
1229, 10971
1230, 5251
1231, 12504
1232, 4880
1233, 13024
1234, 5675
1235, 10463
1236, 4934
1237, 11051
1238, 5062
1239, 11630
1240, 4899
1241, 12149
1242, 6323
1243, 9185
1244, 4920
1245, 11714
1246, 4910
1247, 11800
1248, 5198
1249, 12034
1250, 5495
1251, 11078
1252, 4965
1253, 10875
1254, 5153
1255, 11518
1256, 4941
1257, 12340
1258, 5532
1259, 10550
1260, 4977
1261, 11177
1262, 4999
1263, 12204
1264, 4913
1265, 11845
1266, 5164
1267, 10973
1268, 5210
1269, 11097
1270, 4958
1271, 12871
1272, 4972
1273, 12454
1274, 5213
1275, 10768
1276, 5087
1277, 11585
1278, 4806
1279, 12616
1280, 5252
1281, 44032
1282, 5151
1283, 15670
1284, 5668
1285, 10251
1286, 5124
1287, 14635
1288, 4945
1289, 8195
1290, 4928
1291, 11405
1292, 5381
1293, 11644
1294, 4778
1295, 10821
1296, 4865
1297, 11745
1298, 4949
1299, 11310
1300, 5749
1301, 12077
1302, 5061
1303, 12338
1304, 5074
1305, 11368
1306, 4890
1307, 11358
1308, 5663
1309, 10614
1310, 5119
1311, 11459
1312, 4970
1313, 12403
1314, 4972
1315, 12470
1316, 6953
1317, 9644
1318, 5019
1319, 11358
1320, 4866
1321, 11306
1322, 5043
1323, 11564
1324, 6684
1325, 38262
1326, 4890
1327, 49788
1328, 5307
